Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
Data,44420,44420,44421,44421,NaN,NaN,NaN,NaN,NaN
Δh_infinity,4.75,4.75,5,4.9375,NaN,NaN,NaN,NaN,NaN
Horiz pitot-arm-position reading,1.625,3.5,5.5,7.5,NaN,NaN,NaN,NaN,15.83870571
Horiz pitot downstream distance,2.015625,3.890625,5.890625,7.890625,NaN,NaN,NaN,NaN,16.22933071
x/D,1.0239375,1.9764375,2.9924375,4.0084375,NaN,NaN,NaN,NaN,8.2445
# crank revs below starting position,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅,NaN,NaN,NaN,NaN,NaN,NaN,12.5,NaN,NaN
8,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,NaN,154.875,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,NaN,149.9375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,NaN,NaN,NaN,4.9375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,NaN,154.875,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,NaN,149.9375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,NaN,NaN,NaN,4.9375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1.006557447,1,1.012422837,1,NaN,NaN,NaN,NaN,NaN
x,154.8125,154.8125,155,154.875,154.875,NaN,NaN,NaN,NaN
y,150,150.0625,149.875,149.9375,149.9375,NaN,NaN,NaN,NaN
Δh = x-y,4.8125,4.75,5.125,4.9375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1.006557447,1,1.00623059,1,NaN,NaN,NaN,NaN,NaN
x,154.8125,154.8125,154.9375,154.875,NaN,NaN,NaN,NaN,NaN
y,150,150.0625,149.875,149.9375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.8125,4.75,5.0625,4.9375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1.006557447,1,1.00623059,1,NaN,NaN,NaN,NaN,NaN
x,154.8125,154.8125,154.9375,154.875,NaN,NaN,NaN,NaN,NaN
y,150,150.0625,149.875,149.9375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.8125,4.75,5.0625,4.9375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1.006557447,1,1.00623059,1,NaN,NaN,NaN,NaN,NaN
x,154.8125,154.8125,154.9375,154.875,NaN,NaN,NaN,NaN,NaN
y,150,150.0625,149.875,149.9375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.8125,4.75,5.0625,4.9375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1.006557447,1,1,0.9936507295,NaN,NaN,NaN,NaN,NaN
x,154.8125,154.8125,154.9375,154.875,NaN,NaN,NaN,NaN,NaN
y,150,150.0625,149.9375,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.8125,4.75,5,4.875,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1.006557447,1,1,0.9936507295,NaN,NaN,NaN,NaN,NaN
x,154.8125,154.8125,154.9375,154.875,NaN,NaN,NaN,NaN,NaN
y,150,150.0625,149.9375,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.8125,4.75,5,4.875,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,0.9933992678,0.9933992678,0.9937303457,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,154.75,154.75,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,150.0625,150.0625,149.9375,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.6875,4.6875,4.9375,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,0.9459053029,0.9867543821,0.9810708435,0.9808288925,NaN,NaN,NaN,NaN,NaN
x,154.5625,154.75,154.8125,154.8125,NaN,NaN,NaN,NaN,NaN
y,150.3125,150.125,150,150.0625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.25,4.625,4.8125,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,0.8660254038,0.966545667,0.9552486587,0.9612755239,NaN,NaN,NaN,NaN,NaN
x,154.1875,154.625,154.6875,154.6875,NaN,NaN,NaN,NaN,NaN
y,150.625,150.1875,150.125,150.125,NaN,NaN,NaN,NaN,NaN
Δh = x-y,3.5625,4.4375,4.5625,4.5625,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,0.8583950753,0.9597148699,0.9486832981,0.954668741,NaN,NaN,NaN,NaN,NaN
x,154.1875,154.625,154.6875,154.6875,NaN,NaN,NaN,NaN,NaN
y,150.6875,150.25,150.1875,150.1875,NaN,NaN,NaN,NaN,NaN
Δh = x-y,3.5,4.375,4.5,4.5,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,0.8111071057,0.9176629355,0.9287087811,0.941316073,NaN,NaN,NaN,NaN,NaN
x,154,154.4375,154.5625,154.625,NaN,NaN,NaN,NaN,NaN
y,150.875,150.4375,150.25,150.25,NaN,NaN,NaN,NaN,NaN
Δh = x-y,3.125,4,4.3125,4.375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,0.7254762501,0.8958970806,0.9151502609,0.9209241368,NaN,NaN,NaN,NaN,NaN
x,153.6875,154.3125,154.5,154.5,NaN,NaN,NaN,NaN,NaN
y,151.1875,150.5,150.3125,150.3125,NaN,NaN,NaN,NaN,NaN
Δh = x-y,2.5,3.8125,4.1875,4.1875,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,0.6786208925,0.8583950753,0.9013878189,0.9140257316,NaN,NaN,NaN,NaN,NaN
x,153.5,154.1875,154.4375,154.5,NaN,NaN,NaN,NaN,NaN
y,151.3125,150.6875,150.375,150.375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,2.1875,3.5,4.0625,4.125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,0.6282808624,0.8271701919,0.8874119675,0.9000703207,NaN,NaN,NaN,NaN,NaN
x,153.375,154.0625,154.375,154.4375,NaN,NaN,NaN,NaN,NaN
y,151.5,150.8125,150.4375,150.4375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.875,3.25,3.9375,4,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,0.6069769787,0.8111071057,0.8732124598,0.8858950991,NaN,NaN,NaN,NaN,NaN
x,153.3125,154,154.3125,154.375,NaN,NaN,NaN,NaN,NaN
y,151.5625,150.875,150.5,150.5,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.75,3.125,3.8125,3.875,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,0.5960395607,0.7947194142,0.8660254038,0.8714893407,NaN,NaN,NaN,NaN,NaN
x,153.25,153.9375,154.3125,154.3125,NaN,NaN,NaN,NaN,NaN
y,151.5625,150.9375,150.5625,150.5625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.6875,3,3.75,3.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,0.5848976519,0.7863975157,0.8660254038,0.8714893407,NaN,NaN,NaN,NaN,NaN
x,153.25,153.875,154.3125,154.3125,NaN,NaN,NaN,NaN,NaN
y,151.625,150.9375,150.5625,150.5625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.625,2.9375,3.75,3.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,0.5848976519,0.7863975157,0.8587782019,0.8641964146,NaN,NaN,NaN,NaN,NaN
x,153.25,153.875,154.25,154.25,NaN,NaN,NaN,NaN,NaN
y,151.625,150.9375,150.5625,150.5625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.625,2.9375,3.6875,3.6875,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,0.5848976519,0.7863975157,0.8587782019,0.8641964146,NaN,NaN,NaN,NaN,NaN
x,153.25,153.875,154.25,154.25,NaN,NaN,NaN,NaN,NaN
y,151.625,150.9375,150.5625,150.5625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.625,2.9375,3.6875,3.6875,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,0.5960395607,0.7863975157,0.8587782019,0.8641964146,NaN,NaN,NaN,NaN,NaN
x,153.25,153.875,154.25,154.25,NaN,NaN,NaN,NaN,NaN
y,151.5625,150.9375,150.5625,150.5625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.6875,2.9375,3.6875,3.6875,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,0.6177207681,0.7863975157,0.8660254038,0.8714893407,NaN,NaN,NaN,NaN,NaN
x,153.3125,153.875,154.3125,154.3125,NaN,NaN,NaN,NaN,NaN
y,151.5,150.9375,150.5625,150.5625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.8125,2.9375,3.75,3.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,0.6386663737,0.7863975157,0.8660254038,0.8714893407,NaN,NaN,NaN,NaN,NaN
x,153.375,153.875,154.3125,154.3125,NaN,NaN,NaN,NaN,NaN
y,151.4375,150.9375,150.5625,150.5625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,1.9375,2.9375,3.75,3.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,0.6882472016,0.7947194142,0.8732124598,0.8787217414,NaN,NaN,NaN,NaN,NaN
x,153.5625,153.9375,154.3125,154.3125,NaN,NaN,NaN,NaN,NaN
y,151.3125,150.9375,150.5,150.5,NaN,NaN,NaN,NaN,NaN
Δh = x-y,2.25,3,3.8125,3.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,0.7521897857,0.7947194142,0.8874119675,0.8930108367,NaN,NaN,NaN,NaN,NaN
x,153.75,153.875,154.375,154.375,NaN,NaN,NaN,NaN,NaN
y,151.0625,150.875,150.4375,150.4375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,2.6875,3,3.9375,3.9375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,0.8191780219,0.8191780219,0.9082951062,0.9070748647,NaN,NaN,NaN,NaN,NaN
x,154,154,154.5,154.4375,NaN,NaN,NaN,NaN,NaN
y,150.8125,150.8125,150.375,150.375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,3.1875,3.1875,4.125,4.0625,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.8429272304,0.8583950753,0.9219544457,0.9140257316,NaN,NaN,NaN,NaN,NaN
x,154.125,154.1875,154.5625,154.5,NaN,NaN,NaN,NaN,NaN
y,150.75,150.6875,150.3125,150.375,NaN,NaN,NaN,NaN,NaN
Δh = x-y,3.375,3.5,4.25,4.125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,0.8885233166,0.873589088,0.9354143467,0.9277712507,NaN,NaN,NaN,NaN,NaN
x,154.3125,154.25,154.625,154.5625,NaN,NaN,NaN,NaN,NaN
y,150.5625,150.625,150.25,150.3125,NaN,NaN,NaN,NaN,NaN
Δh = x-y,3.75,3.625,4.375,4.25,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,0.9597148699,0.9176629355,0.9354143467,0.941316073,NaN,NaN,NaN,NaN,NaN
x,154.625,154.4375,154.625,154.625,NaN,NaN,NaN,NaN,NaN
y,150.25,150.4375,150.25,150.25,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.375,4,4.375,4.375,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,0.9867543821,0.9528351047,0.9552486587,0.9612755239,NaN,NaN,NaN,NaN,NaN
x,154.75,154.5625,154.6875,154.6875,NaN,NaN,NaN,NaN,NaN
y,150.125,150.25,150.125,150.125,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.625,4.3125,4.5625,4.5625,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,0.9933992678,0.9733285268,0.9746794345,0.9678372078,NaN,NaN,NaN,NaN,NaN
x,154.75,154.6875,154.8125,154.75,NaN,NaN,NaN,NaN,NaN
y,150.0625,150.1875,150.0625,150.125,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.6875,4.5,4.75,4.625,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,0.9933992678,0.9867543821,0.9810708435,0.9678372078,NaN,NaN,NaN,NaN,NaN
x,154.75,154.75,154.8125,154.75,NaN,NaN,NaN,NaN,NaN
y,150.0625,150.125,150,150.125,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.6875,4.625,4.8125,4.625,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,0.9933992678,0.9867543821,0.9810708435,0.9808288925,NaN,NaN,NaN,NaN,NaN
x,154.75,154.75,154.8125,154.8125,NaN,NaN,NaN,NaN,NaN
y,150.0625,150.125,150,150.0625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.6875,4.625,4.8125,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,0.9867543821,0.9867543821,0.9874208829,0.9808288925,NaN,NaN,NaN,NaN,NaN
x,154.75,154.75,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,150.125,150.125,150,150.0625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.625,4.625,4.875,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,0.9867543821,0.9867543821,0.9874208829,0.9808288925,NaN,NaN,NaN,NaN,NaN
x,154.75,154.75,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,150.125,150.125,150,150.0625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,4.625,4.625,4.875,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,0,0.9867543821,0.9874208829,0.9808288925,NaN,NaN,NaN,NaN,NaN
x,NaN,154.75,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,150.125,150,150.0625,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,4.625,4.875,4.75,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,0,0,0.9874208829,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,150,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,4.875,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,0,0,0.9874208829,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,150,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,4.875,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,0,0,0.9874208829,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,150,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,4.875,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,0,0,0.9874208829,0.9872606263,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,154.875,154.8125,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,150,150,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,4.875,4.8125,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,0,0,0,0,NaN,NaN,NaN,NaN,NaN
x,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Δh = x-y,0,0,0,0,NaN,NaN,NaN,NaN,NaN
