Var1,Var2,Var3,Var4,Var5,Var6,Var7
Free-stream velocity (m/s),47.65623975,NaN,NaN,NaN,NaN,"Time reponse: smaller manometer? Try one in lab"
Re_disc (assuming 20ºC air),158854.1325,NaN,NaN,NaN,NaN,"Could get a faster pressure sensor. I would need to research it. Accuracy, cost, etc. However, may want to hold off b/c an anemometer is coming in the mail."
Tunnel suction gap (outside of flanges) (cm),3.11,NaN,NaN,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
Data,NaN,NaN,NaN,NaN,NaN,""
Δh_infinity,5.46875,5.40625,5.34375,NaN,NaN,""
Horiz pitot-arm-position reading (cm),5.5,27,42.2,45.56,NaN,""
Horiz pitot downstream distance (cm),1.2625,22.7625,37.9625,41.3225,NaN,""
x/D,0.2525,4.5525,7.5925,8.2645,NaN,""
# crank revs below starting position,NaN,NaN,NaN,NaN,NaN,""
˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅,NaN,NaN,NaN,NaN,NaN,""
0,1,1,1,NaN,NaN,""
x,154.75,154.71875,154.6875,NaN,NaN,""
y,149.28125,149.3125,149.34375,NaN,NaN,""
Δh = x-y,5.46875,5.40625,5.34375,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
1,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
2,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
3,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
4,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
5,1,1,1,NaN,NaN,""
x,154.75,154.71875,154.6875,NaN,NaN,""
y,149.28125,149.3125,149.34375,NaN,NaN,""
Δh = x-y,5.46875,5.40625,5.34375,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
6,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
7,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
8,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
9,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
10,1,1,1,NaN,NaN,""
x,154.75,154.71875,154.6875,NaN,NaN,""
y,149.28125,149.3125,149.34375,NaN,NaN,""
Δh = x-y,5.46875,5.40625,5.34375,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
11,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
12,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
13,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
14,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
15,0.9971387638,1,1,NaN,NaN,""
x,154.71875,154.71875,154.6875,NaN,NaN,""
y,149.28125,149.3125,149.34375,NaN,NaN,""
Δh = x-y,5.4375,5.40625,5.34375,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
16,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
17,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
18,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
19,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
20,0.9971387638,1,1,NaN,NaN,""
x,154.71875,154.71875,154.6875,NaN,NaN,""
y,149.28125,149.3125,149.34375,NaN,NaN,""
Δh = x-y,5.4375,5.40625,5.34375,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
21,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
22,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
23,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
24,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
25,0.9942692938,0.9942028497,1,NaN,NaN,""
x,154.71875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.34375,NaN,NaN,""
Δh = x-y,5.40625,5.34375,5.34375,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
26,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
27,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
28,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
29,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
30,0.9942692938,0.9942028497,0.997071736,NaN,NaN,""
x,154.71875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.375,NaN,NaN,""
Δh = x-y,5.40625,5.34375,5.3125,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
31,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
32,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
33,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
34,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
35,0.9942692938,0.9942028497,0.997071736,NaN,NaN,""
x,154.71875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.375,NaN,NaN,""
Δh = x-y,5.40625,5.34375,5.3125,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
36,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
37,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
38,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
39,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
40,0.9942692938,0.9942028497,0.997071736,NaN,NaN,""
x,154.71875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.375,NaN,NaN,""
Δh = x-y,5.40625,5.34375,5.3125,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
41,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
42,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
43,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
44,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
45,0.9942692938,0.9942028497,0.997071736,NaN,NaN,""
x,154.71875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.375,NaN,NaN,""
Δh = x-y,5.40625,5.34375,5.3125,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
46,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
47,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
48,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
49,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
50,0.9942692938,0.9942028497,0.997071736,NaN,NaN,""
x,154.71875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.375,NaN,NaN,""
Δh = x-y,5.40625,5.34375,5.3125,NaN,NaN,""
