Station1,WeForgotToTapeTheTop,Var3,Var4,Var5,Var6,Var7,Var8,Station1_1,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Station2,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Station3,Var26,Var27,Var28,Var29,Var30,Var31
NaN,5.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.21875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,,,NaN,NaN,NaN,NaN,5,NaN,,,NaN,NaN
NaN,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3,NaN,,,NaN,NaN,NaN,NaN,19.3,NaN,,,NaN,NaN
NaN,5.2625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0625,NaN,,,NaN,NaN,NaN,NaN,15.0625,NaN,,,NaN,NaN
NaN,1.0525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0125,NaN,,,NaN,NaN,NaN,NaN,3.0125,NaN,,,NaN,NaN
NaN,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,h1,h2,NaN,NaN,NaN,NaN,NaN,NaN,h1,h2,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5,-0.5,1.6764,NaN,NaN,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4,-0.4,1.6256,NaN,NaN,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3,-0.3,1.5748,149.625,154.46875,4.84375,0.9634021552,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2,-0.2,1.524,149.625,154.46875,4.84375,0.9634021552,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-0.1,1.4732,149.625,154.46875,4.84375,0.9634021552,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
0,0,1.3716,149.3125,154.6875,5.375,1,NaN,0,0,1.4224,149.40625,154.625,5.21875,1,NaN,0,0,0,,,0,0,NaN,0,0,0,,,0,0
1,0.1,1.3208,149.3125,154.6875,5.375,1,NaN,1,0.1,1.3716,149.40625,154.625,5.21875,1,NaN,1,0.1,-0.0508,,,0,0,NaN,1,0.1,-0.0508,,,0,0
2,0.2,1.27,149.3125,154.6875,5.375,1,NaN,2,0.2,1.3208,149.4375,154.625,5.1875,0.9970014925,NaN,2,0.2,-0.1016,,,0,0,NaN,2,0.2,-0.1016,,,0,0
3,0.3,1.2192,149.3125,154.6875,5.375,1,NaN,3,0.3,1.27,149.4375,154.625,5.1875,0.9970014925,NaN,3,0.3,-0.1524,,,0,0,NaN,3,0.3,-0.1524,,,0,0
4,0.4,1.1684,149.3125,154.6875,5.375,1,NaN,4,0.4,1.2192,149.4375,154.625,5.1875,0.9970014925,NaN,4,0.4,-0.2032,,,0,0,NaN,4,0.4,-0.2032,,,0,0
5,0.5,1.1176,149.3125,154.6875,5.375,1,NaN,5,0.5,1.1684,149.4375,154.59375,5.15625,0.9939939397,NaN,5,0.5,-0.254,,,0,0,NaN,5,0.5,-0.254,,,0,0
6,0.6,1.0668,149.34375,154.6875,5.34375,0.9970887857,NaN,6,0.6,1.1176,149.4375,154.59375,5.15625,0.9939939397,NaN,6,0.6,-0.3048,,,0,0,NaN,6,0.6,-0.3048,,,0,0
7,0.7,1.016,149.34375,154.6875,5.34375,0.9970887857,NaN,7,0.7,1.0668,149.46875,154.59375,5.125,0.9909772591,NaN,7,0.7,-0.3556,,,0,0,NaN,7,0.7,-0.3556,,,0,0
8,0.8,0.9652,149.34375,154.6875,5.34375,0.9970887857,NaN,8,0.8,1.016,149.46875,154.59375,5.125,0.9909772591,NaN,8,0.8,-0.4064,,,0,0,NaN,8,0.8,-0.4064,,,0,0
9,0.9,0.9144,149.34375,154.6875,5.34375,0.9970887857,NaN,9,0.9,0.9652,149.46875,154.59375,5.125,0.9909772591,NaN,9,0.9,-0.4572,,,0,0,NaN,9,0.9,-0.4572,,,0,0
10,1,0.8636,149.34375,154.6875,5.34375,0.9970887857,NaN,10,1,0.9144,149.46875,154.59375,5.125,0.9909772591,NaN,10,1,-0.508,,,0,0,NaN,10,1,-0.508,,,0,0
11,1.1,0.8128,149.34375,154.6875,5.34375,0.9970887857,NaN,11,1.1,0.8636,149.5,154.5625,5.0625,0.9849161793,NaN,11,1.1,-0.5588,,,0,0,NaN,11,1.1,-0.5588,,,0,0
12,1.2,0.762,149.375,154.65625,5.28125,0.9912407072,NaN,12,1.2,0.8128,149.5,154.53125,5.03125,0.9818716089,NaN,12,1.2,-0.6096,,,0,0,NaN,12,1.2,-0.6096,,,0,0
13,1.3,0.7112,149.5,154.5625,5.0625,0.9704949588,NaN,13,1.3,0.762,149.6875,154.375,4.6875,0.9477360354,NaN,13,1.3,-0.6604,,,0,0,NaN,13,1.3,-0.6604,,,0,0
14,1.4,0.6604,149.84375,154.15625,4.3125,0.8957262871,NaN,14,1.4,0.7112,150.21875,153.71875,3.5,0.8189375328,NaN,14,1.4,-0.7112,,,0,0,NaN,14,1.4,-0.7112,,,0,0
15,1.5,0.6096,150.125,153.90625,3.78125,0.8387421368,NaN,15,1.5,0.6604,150.625,153.40625,2.78125,0.7300233775,NaN,15,1.5,-0.762,,,0,0,NaN,15,1.5,-0.762,,,0,0
16,1.6,0.5588,150.1875,153.8125,3.625,0.8212299341,NaN,16,1.6,0.6096,150.75,153.28125,2.53125,0.6964409093,NaN,16,1.6,-0.8128,,,0,0,NaN,16,1.6,-0.8128,,,0,0
17,1.7,0.508,150.25,153.78125,3.53125,0.8105410194,NaN,17,1.7,0.5588,150.78125,NaN,-150.78125,NaN,NaN,17,1.7,-0.8636,,,0,0,NaN,17,1.7,-0.8636,,,0,0
18,1.8,0.4572,150.25,153.75,3.5,0.8069465848,NaN,18,1.8,0.508,150.8125,153.21875,2.40625,0.6790271308,NaN,18,1.8,-0.9144,,,0,0,NaN,18,1.8,-0.9144,,,0,0
19,1.9,0.4064,150.28125,153.75,3.46875,0.8033360674,NaN,19,1.9,0.4572,150.875,153.1875,2.3125,0.6656679145,NaN,19,1.9,-0.9652,,,0,0,NaN,19,1.9,-0.9652,,,0,0
20,2,0.3556,150.3125,153.71875,3.40625,0.7960659082,NaN,20,2,0.4064,150.90625,153.15625,2.25,0.6566107862,NaN,20,2,-1.016,,,0,0,NaN,20,2,-1.016,,,0,0
21,2.1,0.3048,150.34375,153.6875,3.34375,0.7887287387,NaN,21,2.1,0.3556,150.9375,153.125,2.1875,0.6474269663,NaN,21,2.1,-1.0668,,,0,0,NaN,21,2.1,-1.0668,,,0,0
22,2.2,0.254,150.34375,153.65625,3.3125,0.7850344386,NaN,22,2.2,0.3048,150.9375,153.09375,2.15625,0.6427858529,NaN,22,2.2,-1.1176,,,0,0,NaN,22,2.2,-1.1176,,,0,0
23,2.3,0.2032,150.375,153.65625,3.28125,0.781322671,NaN,23,2.3,0.254,151,153.0625,2.0625,0.628656966,NaN,23,2.3,-1.1684,,,0,0,NaN,23,2.3,-1.1684,,,0,0
24,2.4,0.1524,150.40625,153.625,3.21875,0.7738457271,NaN,24,2.4,0.2032,151.03125,153.03125,2,0.619058586,NaN,24,2.4,-1.2192,,,0,0,NaN,24,2.4,-1.2192,,,0,0
25,2.5,0.1016,150.4375,153.625,3.1875,0.7700800321,NaN,25,2.5,0.1524,151.03125,153,1.96875,0.6142031496,NaN,25,2.5,-1.27,,,0,0,NaN,25,2.5,-1.27,,,0,0
26,2.6,0.0508,150.4375,153.59375,3.15625,0.7662958321,NaN,26,2.6,0.1016,151.03125,152.96875,1.9375,0.6093090226,NaN,26,2.6,-1.3208,,,0,0,NaN,26,2.6,-1.3208,,,0,0
27,2.7,0,150.4375,153.5625,3.125,0.7624928517,NaN,27,2.7,0.0508,151.125,152.9375,1.8125,0.5893262163,NaN,27,2.7,-1.3716,,,0,0,NaN,27,2.7,-1.3716,,,0,0
28,2.8,-0.0508,150.46875,153.59375,3.125,0.7624928517,NaN,28,2.8,0,151.125,152.9375,1.8125,0.5893262163,NaN,28,2.8,-1.4224,,,0,0,NaN,28,2.8,-1.4224,,,0,0
29,2.9,-0.1016,150.46875,153.5625,3.09375,0.7586708083,NaN,29,2.9,-0.0508,151.125,152.90625,1.78125,0.5842237288,NaN,29,2.9,-1.4732,,,0,0,NaN,29,2.9,-1.4732,,,0,0
30,3,-0.1524,150.46875,153.5625,3.09375,0.7586708083,NaN,30,3,-0.1016,151.125,152.90625,1.78125,0.5842237288,NaN,30,3,-1.524,,,0,0,NaN,30,3,-1.524,,,0,0
31,3.1,-0.2032,150.46875,153.5625,3.09375,0.7586708083,NaN,31,3.1,-0.1524,151.125,152.90625,1.78125,0.5842237288,NaN,31,3.1,-1.5748,,,0,0,NaN,31,3.1,-1.5748,,,0,0
32,3.2,-0.254,150.5,153.5625,3.0625,0.7548294124,NaN,32,3.2,-0.2032,151.125,152.90625,1.78125,0.5842237288,NaN,32,3.2,-1.6256,,,0,0,NaN,32,3.2,-1.6256,,,0,0
33,3.3,-0.3048,150.5,153.53125,3.03125,0.7509683671,NaN,33,3.3,-0.254,151.125,152.9375,1.8125,0.5893262163,NaN,33,3.3,-1.6764,,,0,0,NaN,33,3.3,-1.6764,,,0,0
34,3.4,-0.3556,150.5,153.53125,3.03125,0.7509683671,NaN,34,3.4,-0.3048,151.125,152.9375,1.8125,0.5893262163,NaN,34,3.4,-1.7272,,,0,0,NaN,34,3.4,-1.7272,,,0,0
35,3.5,-0.4064,150.53125,153.5,2.96875,0.7431861015,NaN,35,3.5,-0.3556,151.125,152.9375,1.8125,0.5893262163,NaN,35,3.5,-1.778,,,0,0,NaN,35,3.5,-1.778,,,0,0
36,3.6,-0.4572,150.5625,153.5,2.9375,0.7392642477,NaN,36,3.6,-0.4064,151.15625,152.9375,1.78125,0.5842237288,NaN,36,3.6,-1.8288,,,0,0,NaN,36,3.6,-1.8288,,,0,0
37,3.7,-0.508,150.5625,153.46875,2.90625,0.7353214769,NaN,37,3.7,-0.4572,151.15625,152.9375,1.78125,0.5842237288,NaN,37,3.7,-1.8796,,,0,0,NaN,37,3.7,-1.8796,,,0,0
38,3.8,-0.5588,150.5625,153.5,2.9375,0.7392642477,NaN,38,3.8,-0.508,151.15625,152.9375,1.78125,0.5842237288,NaN,38,3.8,-1.9304,,,0,0,NaN,38,3.8,-1.9304,,,0,0
39,3.9,-0.6096,150.4375,153.59375,3.15625,0.7662958321,NaN,39,3.9,-0.5588,151.15625,152.9375,1.78125,0.5842237288,NaN,39,3.9,-1.9812,,,0,0,NaN,39,3.9,-1.9812,,,0,0
40,4,-0.6604,150.375,153.65625,3.28125,0.781322671,NaN,40,4,-0.6096,151.15625,152.9375,1.78125,0.5842237288,NaN,40,4,-2.032,,,0,0,NaN,40,4,-2.032,,,0,0
41,4.1,-0.7112,150.0625,154,3.9375,0.8558961032,NaN,41,4.1,-0.6604,151,153.0625,2.0625,0.628656966,NaN,41,4.1,-2.0828,,,0,0,NaN,41,4.1,-2.0828,,,0,0
42,4.2,-0.762,149.75,154.40625,4.65625,0.93074114,NaN,42,4.2,-0.7112,150.90625,153.1875,2.28125,0.6611548597,NaN,42,4.2,-2.1336,,,0,0,NaN,42,4.2,-2.1336,,,0,0
43,4.3,-0.8128,149.53125,154.53125,5,0.9644856443,NaN,43,4.3,-0.762,150.375,153.75,3.375,0.8041806929,NaN,43,4.3,-2.1844,,,0,0,NaN,43,4.3,-2.1844,,,0,0
44,4.4,-0.8636,149.53125,154.53125,5,0.9644856443,NaN,44,4.4,-0.8128,149.78125,154.3125,4.53125,0.9318065642,NaN,44,4.4,-2.2352,,,0,0,NaN,44,4.4,-2.2352,,,0,0
45,4.5,-0.9144,149.53125,154.53125,5,0.9644856443,NaN,45,4.5,-0.8636,149.71875,154.375,4.65625,0.9445716325,NaN,45,4.5,-2.286,,,0,0,NaN,45,4.5,-2.286,,,0,0
46,4.6,-0.9652,149.53125,154.5625,5.03125,0.9674949672,NaN,46,4.6,-0.9144,149.6875,154.40625,4.71875,0.9508899078,NaN,46,4.6,-2.3368,,,0,0,NaN,46,4.6,-2.3368,,,0,0
47,4.7,-1.016,149.53125,154.5625,5.03125,0.9674949672,NaN,47,4.7,-0.9652,149.71875,154.375,4.65625,0.9445716325,NaN,47,4.7,-2.3876,,,0,0,NaN,47,4.7,-2.3876,,,0,0
48,4.8,-1.0668,149.53125,154.5625,5.03125,0.9674949672,NaN,48,4.8,-1.016,149.71875,154.375,4.65625,0.9445716325,NaN,48,4.8,-2.4384,,,0,0,NaN,48,4.8,-2.4384,,,0,0
49,4.9,-1.1176,149.5,154.53125,5.03125,0.9674949672,NaN,49,4.9,-1.0668,149.6875,154.375,4.6875,0.9477360354,NaN,49,4.9,-2.4892,,,0,0,NaN,49,4.9,-2.4892,,,0,0
50,5,-1.1684,149.5,154.53125,5.03125,0.9674949672,NaN,50,5,-1.1176,149.71875,154.375,4.65625,0.9445716325,NaN,50,5,-2.54,,,0,0,NaN,50,5,-2.54,,,0,0
51,5.1,-1.2192,149.5,154.53125,5.03125,0.9674949672,NaN,51,5.1,-1.1684,149.71875,154.375,4.65625,0.9445716325,NaN,51,5.1,-2.5908,,,0,0,NaN,51,5.1,-2.5908,,,0,0
52,5.2,-1.27,149.5,154.53125,5.03125,0.9674949672,NaN,52,5.2,-1.2192,149.71875,154.375,4.65625,0.9445716325,NaN,52,5.2,-2.6416,,,0,0,NaN,52,5.2,-2.6416,,,0,0
53,5.3,-1.3208,149.5,154.53125,5.03125,0.9674949672,NaN,53,5.3,-1.27,149.71875,154.375,4.65625,0.9445716325,NaN,53,5.3,-2.6924,,,0,0,NaN,53,5.3,-2.6924,,,0,0
54,5.4,-1.3716,149.5,154.5625,5.0625,0.9704949588,NaN,54,5.4,-1.3208,149.71875,154.375,4.65625,0.9445716325,NaN,54,5.4,-2.7432,,,0,0,NaN,54,5.4,-2.7432,,,0,0
55,5.5,-1.4224,149.5,154.53125,5.03125,0.9674949672,NaN,55,5.5,-1.3716,149.71875,154.375,4.65625,0.9445716325,NaN,55,5.5,-2.794,,,0,0,NaN,55,5.5,-2.794,,,0,0
56,5.6,-1.4732,149.5,154.53125,5.03125,0.9674949672,NaN,56,5.6,-1.4224,149.71875,154.375,4.65625,0.9445716325,NaN,56,5.6,-2.8448,,,0,0,NaN,56,5.6,-2.8448,,,0,0
57,5.7,-1.524,NaN,NaN,0,0,NaN,57,5.7,-1.4732,NaN,NaN,0,0,NaN,57,5.7,-2.8956,,,0,0,NaN,57,5.7,-2.8956,,,0,0
58,5.8,-1.5748,NaN,NaN,0,0,NaN,58,5.8,-1.524,NaN,NaN,0,0,NaN,58,5.8,-2.9464,,,0,0,NaN,58,5.8,-2.9464,,,0,0
59,5.9,-1.6256,NaN,NaN,0,0,NaN,59,5.9,-1.5748,NaN,NaN,0,0,NaN,59,5.9,-2.9972,,,0,0,NaN,59,5.9,-2.9972,,,0,0
60,6,-1.6764,NaN,NaN,0,0,NaN,60,6,-1.6256,NaN,NaN,0,0,NaN,60,6,-3.048,,,0,0,NaN,60,6,-3.048,,,0,0
